Course Code,Name,Description,Prerequisites,Corequisites,Exclusions,Recommended_prep,Distribution,Hours,Delivery Mode
ENG217H5,Writing about the Visual Arts,"This course introduces students to various literary traditions of writing about the visual arts, from the close analysis of images in novels, poems, and essays to verbal forms (such as ekphrasis and calligrammes) that make poetry and fiction out of paintings, photographs, and sculptures. While the puzzle of translating between space-based and time-based arts will be at the centre of our inquiry, the course will also consider texts and books as visual objects; how writers create visual experiences and mental images; and how literary writing is inspired by museums and exhibitions. Students will have opportunities to practice writing about the arts in collaboration with the Blackwood Gallery at UTM and its featured artists, and, when possible, with other Peel Region and Greater Toronto Area artists and galleries.",4.0 credits Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,,,Humanities,36L,In Class
ENG218H5,Interactive Storytelling and Worldmaking,"This course examines the deep history and extraordinary diversity of interactive storytelling, with a focus on narrative art in digital games, transmedia/cross-platform projects, alternate reality and pervasive games, theme parks, and immersive performances, as well as literary texts and films. We will consider forms (e.g., riddles, parables, metafiction, branching narratives) that require participatory agency, choice-based and emergent storytelling, as well as genres (e.g., creation myths, planetary romances, travelogues, adventure fiction, Expressionist cinema) that discover or assemble a narrative by traversing a world. We will also explore the contexts and theoretical grounds of reader- and player-centric approaches.",Open to students who have successfully completed a minimum of 4.0 credits. Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course.,,,,Humanities,36L,In Class
ENG223H5,Introduction to Shakespeare,"This course introduces students to Shakespeare. Lectures equip them with historical knowledge about literature, politics, and the theatre in Shakespeare's time. Tutorials help them to grapple with Shakespeare's language, versification, and stagecraft. By the end of the course students will have a new framework within which to understand - and interrogate - the enduring power of Shakespeare's work.",Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,ENG220Y5orDRE221Y5orDRE224H5,,Humanities,24L/12T,In Class
ENG234H5,Children's Literature,"A critical and historical introduction to works written and created for or appropriated by children, from early didactic forms through the “Golden Era” to 20th-century fiction and contemporary works that centre non-white identities and experiences. The course may include fiction, poetry, drama, non-fiction, and visual media, and may cover works by authors such as John Bunyan, Robert Louis Stevenson, Lewis Carroll, Mark Twain, Lucy Maud Montgomery, A.A. Milne, Louise Fitzhugh, Salman Rushdie, Cherie Dimaline, Aviaq Johnston, Katherina Vermette, Audrey Thomas, Jason Reynolds, Hanna Alkaf, Namina Forna.",Open to students who have successfully completed a minimum of 4.0 credits. Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,,,Humanities,36L,"In Class, Online (Summer only)"
ENG235H5,Comics and the Graphic Novel,"An introduction to the writing and sequential art of comics and graphic novels, this course includes fictional and nonfictional comics by artists such as Will Eisner, Art Spiegelman, Frank Miller, Alan Moore, Chris Ware, Daniel Clowes, Julie Doucet, Marjane Satrapi, Chester Brown and Seth.",Open to students who have successfully completed at least 4.0 full credits. Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,,,Humanities,36L,"In Class, Online (Summer only)"
ENG236H5,Detective Fiction,"At least 12 works by such authors as Edgar Allen Poe, Charles Dickens, Wilkie Collins, Arthur Conan Doyle, G.K. Chesterton, Agatha Christie, Dorothy L. Sayers, S.S. Van Dine, Dashiell Hammett, Rayond Chandler, William Faulkner, P.D. James, Ruth Rendell.",Open to students who have successfully completed at least 4.0 full credits. Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,,,Humanities,36L,In Class
ENG237H5,Science Fiction,"This course explores speculative fiction that invents or extrapolates an inner or outer cosmology from the physical, life, social, and human sciences. Typical subjects include AI, alternative histories, cyberpunk, evolution, future and dying worlds, genetics, space/time travel, strange species, theories of everything, utopias, and dystopias.",Open to students who have successfully completed at least 4.0 full credits. Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,,,Humanities,36L,"In Class, Online (Summer only)"
ENG238H5,Fantasy Literature,"This course focuses on fantasy literature, film, and television, and draws on a wide range of critical, cultural, and theoretical approaches. As it explores the magical and supernatural, it may consider such genres as alternative histories, animal fantasy, epic, fairy tales, magic realism, and swords and sorcery. Authors and texts covered will survey the history of fantasy across American, British, and Canadian literature, and may include Beowulf, Octavia Butler, Lewis Carroll, Neil Gaiman, Ursela K. Le Guin, C.S. Lewis, George R. R. Martin, Ovid, J.K. Rowling, Shakespeare, Sir Gawain and the Green Knight, Jonathan Swift, and J. R. R. Tolkien.",Open to students who have successfully completed at least 4.0 full credits. Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,,,Humanities,36L,In Class
ENG239H5,Horror Literature,"A critical and historical critical introduction to gothic literature, film, and television covering such authors as Angela Carter, Stephen King, H.P. Lovecraft, Richard Matheson, Edgar Allen Poe, Anne Rice, Mary Shelley, Robert Louis Stevenson, and Bram Stoker. The course draws on diverse critical and theoretical approaches as it examines a wide range of national and cultural contexts. It focuses on the gothic in broad terms and such concepts and issues as fear, horror, terror, the monstrous, the mythological, and the supernatural.",Open to students who have successfully completed at least 4.0 full credits. Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,,,Humanities,36L,In Class
ENG250Y5,American Literature,"An introductory survey of major works in American literature, this course explores works in a variety of genres, including poetry, fiction, essays, and slave narratives.",Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,ENG251H5,,Humanities,72L,In Class
ENG251H5,Introduction to American Literature,"This course introduces students to major works in American literature in a variety of genres, from poetry and fiction to essays and slave narratives.",Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,ENG250Y5,,Humanities,36L,In Class
ENG255H5,Introduction to Canadian Literature,"This course introduces students to Canadian literatures, from the oral narratives of Canada's early Indigenous communities to new writing in a digital age.",Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100 level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,ENG252Y5,,Humanities,36L,In Class
ENG261H5,Music and Literature,"This course introduces students to the intersection of music and literature. We will study how melody, rhythm and texture interact with language, story and performance using examples from folk ballads and blues, art-songs, popular songs, musical theatre, jazz and hiphop, as well as poems inspired by musical styles and performers. Works to be covered may include folksongs collected by Francis Child and Alan Lomax, Thomas Moore’s Irish Melodies, popular songs by Bob Dylan, Leonard Cohen and Joni Mitchell, theatrical works by Bertolt Brecht, Stephen Sondheim and Lin-Manuel Miranda, performances by The Last Poets, hiphop lyrics by Public Enemy, and poems by William Blake, William Wordsworth, Emily Dickinson, Langston Hughes and Don McKay.",Open to students who have successfully completed at least 4.0 full credits.    Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,,,Humanities,36L,In Class
ENG269H5,Queer Writing,"Introducing a lesbian, gay, bisexual, trans, and queer tradition in literature and theory, this course may explore texts from a variety of historical periods, from the classical to the contemporary. It will focus on a variety of genres, potentially including poetry, drama, fiction, criticism, and popular culture.",Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,ENG273Y1,,Humanities,36L,In Class
ENG273H5,Literatures of Immigration and Exile,"In this course we will study literary and non-literary texts in English from the nineteenth century to the present day that come from colonial and postcolonial contexts and that speak to the experience of those affected by colonization, immigration, exile, war, and globalization. Students will be introduced to postcolonial theory and questions about race, ethnicity, religious difference, and diasporas in Anglophone literary studies. They may study texts by Joseph Conrad, Henry James, Samuel Beckett, James Joyce, Jean Rhys, Ezra Pound, Eugene Ionesco, Vladimir Nabokov, Arthur Koestler, Joseph Brodsky, V.S. Naipaul, Chinua Achebe, Milan Kundera, Josef Skvorecky, Salman Rushdie, Mavis Gallant, W.G. Sebald, Michael Ondaatje, Edwich Danticat, and Azar Nafisi.",Open to students who have successfully completed at least 4.0 full credits. Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,ENG253Y5orENG270Y1orENG270Y5orENG272H5,,Humanities,36L,In Class
ENG275H5,Feminist Approaches to Literature,"This course will consider the implications, for literary studies and for literary writing, of modern traditions of feminist and gender theory. Students will encounter the work of major feminist thinkers - e.g., Mary Wollstonecraft, Simone de Beauvoir, Alice Walker, Julie Kristeva, and Judith Butler - and texts by major women writers. The course will explore feminist approaches to literature, including those that borrow from post-structural, psychoanalytic, and contemporary gender, race, and queer theories.",Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,,,Humanities,36L,In Class
ENG276H5,Fanfiction,"This course investigates fanfiction from a variety of theoretical standpoints, including gender and sexuality studies, critical race studies, and affect theory. It considers the literary history of fanfiction- amateur, unauthorized stories about characters invented by canonical writers (e.g., Jane Austen and Arthur Conan Doyle); a wide selection of fanfiction stories; and the commercialization of the products of the modern fanfiction industry.",Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,,,Humanities,36L,In Class
ENG277H5,Bad Romance,"This course covers romances of the eighteenth to the twenty-first century, ranging from the amatory (stories about love, longing, and desire) to the fantastic (the supernatural and fantasy). Students will consider issues of canonization, popularity, the text-author-reader relationship, definitions of high and low art, ideas about good and bad writing, and eroticism and desire. Texts may include Harlequin romances, paranormal romance, and works by Jane Austen, the Brontes, Daphne du Maurier, Stephenie Meyer, Nicholas Sparks, Sarah Waters, and E. L. James.",Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,,,Humanities,36L,In Class
ENG279H5,History of Video Games,"This course introduces students to the history of video games from early arcade cabinets and personal computers to home video game consoles and mobile devices in everyday life. It considers the role of culture, technology, and marketing in the formation of interactive texts, genres, and play experiences. Students will be exposed to unique primary sources in the Syd Bolton Collection of video games and the Electric Playground Media Archive of historical game industry footage through course content, lectures, and assignments.",Open to students who have successfully completed at least 4.0 full credits. Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,,,Humanities,24L/12P,In Class
ENG280H5,Critical Approaches to Literature,"An introduction to literary theory and its central questions, such as the notion of literature itself, the relation between literature and reality, the nature of literary language, the making of literary canons, and the roles of the author and the reader.",Open to students who have successfully completed at least 4.0 full credits. Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,ENG267H5,,Humanities,24L/12T,"In Class, Online (Summer only)"
ENG291H5,Reading for Creative Writing,"This course will help students to see connections between their reading and their work as creative writers. They will read texts in a variety of literary and non-literary genres and consider the way that writers learn their craft from other writers. Practical assignments will encourage students to find creative ways to critique, imitate, speak to, and borrow responsibly from the work they read.",Open to students who have successfully completed at least 4.0 full credits. Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,,,Humanities,24L/12T,"Online, In Class"
ENG300Y5,Chaucer,"The foundation of English literature: in their uncensored richness and range, Chaucer's works have delighted wide audiences for over 600 years. Includes The Canterbury Tales, with its variety of narrative genres from the humorous and bawdy to the religious and philosophical, and Troilus and Criseyde, a profound erotic masterpiece.",1.0 credit in ENG and 3.0 additional credits.,,,,Humanities,72L,In Class
ENG301H5,Making Love in the Sixteenth Century,"In this course, students will follow the changing constructions of love and love poetry in the sixteenth century, starting with Wyatt and Surrey, passing through Richard Tottel, to the Elizabethan court, and ending with the erotic love poetry that served as a backlash against the Petrarchanism of the early sixteenth century.",1.0 credit in ENG and 3.0 additional credits.,,,,Humanities,36L,"In Class, Online (Summer only)"
ENG302H5,Magical Realism,"Magical realism is a visual and literary style that seamlessly incorporates fantastical or magical elements into realist fiction. In this way, magical realism challenges our usual expectations about reality and its representation. This course will explore the origins of magical realism in visual arts and its exciting revisions in diverse historical and cultural settings. Issues of individual and communal identity, social justice, revenge and haunting, traumatic past and collective memory, power struggles and political upheaval are all part of this literary style. We will look at paintings, read fiction and non-fiction, and consider film as productive contexts to examine the uneasy marriage between plausible reality and magical imagination.",1.0 credit in ENG and 3.0 additional credits,,ENG472H5(Winter 2022) orENG473H5(Fall 2019),,Humanities,36L,"In Class, Online (Summer only)"
ENG304H5,Seventeenth-Century Poetry,"An in-depth study of poetry written during the reign of the early Stuarts and the English Civil Wars. Includes genres such as love poetry, social and political satire, metaphysical poetry, utopic fiction, and political philosophy and poetry, and authors such as John Donne, Katherine Philips, Margaret Cavendish, George Herbert, Richard Crashaw, Henry Vaughan, Thomas Traherne, Ben Jonson, Aemilia Lanyer, Robert Herrick, and Andrew Marvell.",1.0 credit in ENG and 3.0 additional credits.,,ENG304Y5,,Humanities,36L,"In Class, Online (Summer only)"
ENG309H5,Anishinaabe Storytelling and Oral Tradition,"An introduction to the legends, beliefs, and values of the Anishinaabek Nation. Students will explore literary and non-literary texts, media, and/or performances, spanning traditional and innovative forms, genres, and mediums. Content may include contributions by Basil Johnston, Jane School Craft, George Copway, Richard Wagamese, Winona LaDuke, Margaret Noodin, Drew Hayden Taylor, Louise Erdrich, Waubgeshig Rice, Alan Corbiere, Isaac Murdoch, Leanne Betasamosake Simpson, Debajehmujig Theatre Group, and Aanmitaagzi.",1.0 credit in ENG and 3.0 additional credits.,,,,Humanities,36L,In Class
ENG310H5,Modern South Asian Literature in English,"The English language belongs not just to the British colonizers, but to the artists and writers, the poets and politicians of the colonized world. From Rabindranath Tagore’s mystical poetry toSlumdog Millionaire, the styles and aesthetics of South Asian English are as vast as the peninsula itself, and the literature that has emerged from this diverse region has utterly reshaped contemporary global culture. Additionally, we will take up select contemporary criticism on subaltern studies, postcolonialism, and narratology. Authors will include Mulk Raj Anand, V.S. Naipaul, R.K. Narayan, Z.A. Suleri, Salman Rushdie, Anuradha Roy, Jjumpa Lahiri, as well as select works of poetry, film, and visual art.",1.0 credit in ENG and 3.0 additional credits,,,,Humanities,36L,In Class
ENG311H5,Medieval Literature,"This course explores a selection of writings in from medieval Britain, excluding the works of Chaucer.",1.0 credit in ENG and 3.0 additional credits.,,,,Humanities,36L,In Class
ENG312H5,Special Topic in Medieval Literature,"A concentrated study of one aspect of medieval literature or literary culture, such as a particular genre or author, a specific theme, or the application of a particular critical approach. Topics may vary from year to year.",1.0 credit in ENG and 3.0 additional credits.,,,,Humanities,36L,In Class
ENG313H5,Special Topic in Early Modern British Literature,"A concentrated study of one aspect of early modern British literature or literary culture, such as a particular subgenre or author, specific theme, or the application of a particular critical approach. Topics may vary from year to year.",1.0 credit in ENG and 3.0 additional credits.,,,,Humanities,36L,In Class
ENG314H5,Special Topic in Eighteenth-Century British Literature,"A concentrated study of one aspect of eighteenth-century British literature or literary culture, such as a particular subgenre or author, specific theme, or the application of a particular critical approach. Topics may vary from year to year.",1.0 credit in ENG and 3.0 additional credits.,,,,Humanities,36L,In Class
ENG315H5,Special Topic in Nineteenth-Century British Literature,"A concentrated study of one aspect of nineteenth-century British literature or literary culture, such as a particular subgenre or author, specific theme, or the application of a particular critical approach. Topics may vary from year to year.",1.0 credit in ENG and 3 additional credits.,,,,Humanities,36L,In Class
ENG316H5,Special Topic in Modern and Contemporary Literature,"A concentrated study of one aspect of modern or contemporary literature or literary culture, such as a particular subgenre or author, specific theme, or the application of a particular critical approach. Topics may vary from year to year.",1.0 credit in ENG and 3.0 additional credits.,,,,Humanities,36L,In Class
ENG317H5,Drama of the Global South,"This course compares works of selected playwrights of the Global South in an effort to understand their refashioning of postcolonial perspectives and subaltern histories. Ranging beyond the West and its theatrical traditions, the course will explore innovative theatrical performances that focus on South-South affiliations and link discourses, places, and people positioned between peripheries. Students will learn about traditions of orality, cultural pluralities, and indigenous mythic/folk styles that constitute the unique syncretism of South-South theatre cultures. Writers may include Manjula Padmanabhan, Shahid Nadeem, Meng Jinghui, Dalia Taha, Athol Fugard, Ama Ata Aidoo, Ngugi wa Thiong’o, Derek Walcott, José Triana, and Ariel Dorfman.",1.0 credit in ENG and 3 additional credits.,,,,Humanities,36L,In Class
ENG318H5,Women Writers: The 18th Century,"A study of poems, novels, dramas, and prose works by British and American authors such as Mary Astell, Aphra Behn, Anna Laetitia Barbauld, Frances Burney, Maria Edgeworth, Eliza Haywood, Hannah More, Judith Sargent Murray, Mercy Otis Warren, Charlotte Smith, Phyllis Wheatley, and Mary Wollstonecraft. Topics may include professionalization and the literary marketplace; domestic labour; motherhood and children’s literature; class and education; personal agency and political engagement; colonialism, slavery, and abolition; Bluestocking culture; and early feminist thought.",1.0 credit in ENG and 3.0 additional credits.,,ENG307H5,,Humanities,36L,In Class
ENG320H5,Transforming Literature in the Sixteenth Century,"This course focuses on transformations of major literary forms during the sixteenth century, especially on how these transformations involve engagements with medieval and earlier materials. It covers such topics as Petrarchan poetry in translation by Wyatt and Surrey; John Fox's and John Bale's repackaging of Anne Askew's biography; and the work of Ovid and other classical authors in translation and adaptation, as in the Shakespeare's Venus and Adonis.",1.0 credit in English and 3.0 additional credits.,,ENG302Y5,,Humanities,36L,In Class
ENG323H5,Austen and Her Contemporaries,"A study of selected novels by Austen and of works by such contemporaries as Radcliffe, Godwin, Wollstonecraft, Wordsworth, Edgeworth, Scott, and Shelley, in the context of the complex literary, social, and political relationships of that time.",1.0 credit in ENG and 3.0 additional credits.,,,,Humanities,36L,"In Class, Online (Summer only)"
ENG324H5,Special Topic in Game Studies,"A concentrated study of one facet of Game Studies, such as a genre, mechanic, or era in gaming, an aspect of game design, production, or reception, or the application of a specific critical approach. Topics may vary from year to year.","1.0 credit in ENG and 3.0 additional credits, which must include a 0.5 credit in a 200-level Game Studies course or permission from the director of Game Studies.",,,,Humanities,36L,In Class
ENG325H5,The Victorian Novel,"This course surveys several major novels in order to understand the genre that came to dominate literary culture in the Victorian era. Topics may include realism, the marriage plot, the social-problem novel, feminism and sexual identity, novels of growing up, the city, and seriality. Authors may include Charles Dickens, William Makepeace Thackeray, Emily Brontë, Charlotte Brontë, Elizabeth Gaskell, Anthony Trollope, George Eliot, Wilkie Collins, Thomas Hardy, George Gissing, and Oscar Wilde, among others.",1.0 credit in ENG and 3.0 additional credits.,,ENG324Y5,,Humanities,36L,In Class
ENG327H5,Chaucer Today,"Sometimes thought of as the foundation of English poetry, Geoffrey Chaucer’s life and work in the late 14th century may seem remote from the 21st. Yet, Chaucer continues to be read, retold, and reinterpreted today, both in the academy and in popular culture. This course will consider Chaucer’s work and its modern retellings to ask how and why he continues to matter. Alongside readings of Chaucer’s original poetry, we will consider modern adaptations and translations of his work into various media from film to hip-hop, Chaucer’s reappearance and uses in global contexts, and reinterpretations of his life and works amidst rapidly shifting political and cultural realities.",1.0 credit in ENG and 3.0 additional credits.,,,,Humanities,36L,In Class
ENG328H5,Writing for Games and Narrative Design,"This course introduces students to the planning and implementation of writing for video games as well as the role of the narrative designer in game development. Students will practice multiple collaborative forms of game writing (e.g., flow charts, quest outlines, character descriptions, flavour text, non-player character dialogue, cut scenes, storyboard scripts), level design, and player experience creation. Students will learn to use design and editing tools as well as iterative processes of revising game writing to augment gameplay and game features. Students will also learn to analyze and critique diverse game narratives and will discuss careers in game writing.","1.0 credits in ENG and 3.0 additional credits, which must include a 0.5 credit in a 200-level Game Studies course or permission from the director of Game Studies",,,,Humanities,36L,In Class
ENG329H5,Contemporary British Fiction,This course explores six or more works by at least four British contemporary writers of fiction.,1.0 credit in ENG and 3.0 additional credits.,,,,Humanities,36L,In Class
ENG330H5,Medieval Drama,"Texts and performances preceding and underlying the plays of Shakespeare and his contemporaries, including creation-to-doomsday play cycles; plays performed in parishes, inns, great halls, outdoor arenas, and at court; religious and political propaganda plays; political pageants. Attention is given to social, political, and theatrical contexts.",1.0 credit in ENG and 3.0 additional credits.,,,,Humanities,36L,In Class
ENG331H5,Elizabethan Drama,"This course explores English drama to the end of the reign of Queen Elizabeth I, with attention to such playwrights as John Lyly, Thomas Kyd, Christopher Marlowe, and William Shakespeare.",1.0 credit in ENG and 3.0 additional credits.,,ENG332Y5,,Humanities,36L,"In Class, Online (Summer only)"
ENG332H5,Restoration and 18th Century Literature,"This course engages with British poetry and prose ca. 1660-1800. Topics may include the flourishing of print culture; satirical and sentimental literature; the ""rise"" of the novel; art and aesthetics; science and technology; colonialism, slavery, and abolition; and women writers. Authors may include Aphra Behn, John Dryden, Alexander Pope, Jonathan Swift, Samuel Johnson, and Frances Burney.",1.0 credit in ENG and 3.0 additional credits,,ENG308Y5,,Humanities,36L,In Class
ENG333H5,The Modernist Novel,"This course explores novels by such writers as Henry James, Joseph Conrad, Willa Cather, Edmund Forster, James Joyce, Virginia Woolf, David Lawrence, and William Faulkner.",1.0 credit in ENG and 3.0 additional credits.,,ENG328Y5,,Humanities,36L,In Class
ENG335H5,Jacobean Drama,"This course explores English drama from the death of Queen Elizabeth I to the closing of the theatres, with attention to such playwrights as Ben Jonson, Thomas Middleton, William Shakespeare, and John Webster. As part of this course, students may have the option of participating in an international learning experience that will have an additional cost and application process.",1.0 credit in ENG and 3.0 additional credits.,,ENG332Y5,,Humanities,36L,In Class
